ner_model,sim_model,sim_threshold,perfect_match,approximate_match
biobert-base-cased-v1.2_seed0_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed1_ak-outcome-sim,0.5393945574760437,24,33
biobert-base-cased-v1.2_seed0_ak-primary,BioLinkBERT-base_seed1_ak-outcome-sim,0.461687684059143,27,41
biobert-base-cased-v1.2_seed0_ak-primary,bert-base-uncased_seed1_ak-outcome-sim,0.5115755200386047,21,33
biobert-base-cased-v1.2_seed0_ak-primary,biobert-base-cased-v1.2_seed1_ak-outcome-sim,0.4004036486148834,27,42
biobert-base-cased-v1.2_seed0_ak-primary,scibert-scivocab-uncased_seed1_ak-outcome-sim,0.4399441480636596,23,37
biobert-base-cased-v1.2_seed0_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract_seed1_ak-outcome-sim,0.5628267526626587,25,35
BioLinkBERT-base-ner-prim-out,all-mpnet-base-v2-ft-out-sim,0.4017534255981445,28,44
BioLinkBERT-base-ner-prim-out,BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed1_ak-outcome-sim,0.5393945574760437,25,36
BioLinkBERT-base-ner-prim-out,BioLinkBERT-base_seed1_ak-outcome-sim,0.461687684059143,29,44
BioLinkBERT-base-ner-prim-out,bert-base-uncased_seed1_ak-outcome-sim,0.5115755200386047,22,34
BioLinkBERT-base-ner-prim-out,biobert-base-cased-v1.2_seed1_ak-outcome-sim,0.4004036486148834,30,45
BioLinkBERT-base-ner-prim-out,scibert-scivocab-uncased_seed1_ak-outcome-sim,0.4399441480636596,26,40
BioLinkBERT-base-ner-prim-out,BiomedNLP-PubMedBERT-base-uncased-abstract_seed1_ak-outcome-sim,0.5628267526626587,28,38
bert-base-uncased_seed8_ak-primary,all-mpnet-base-v2-ft-out-sim,0.4017534255981445,28,41
bert-base-uncased_seed8_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed1_ak-outcome-sim,0.5393945574760437,23,33
bert-base-uncased_seed8_ak-primary,BioLinkBERT-base_seed1_ak-outcome-sim,0.461687684059143,27,42
bert-base-uncased_seed8_ak-primary,bert-base-uncased_seed1_ak-outcome-sim,0.5115755200386047,22,33
bert-base-uncased_seed8_ak-primary,biobert-base-cased-v1.2_seed1_ak-outcome-sim,0.4004036486148834,28,43
bert-base-uncased_seed8_ak-primary,scibert-scivocab-uncased_seed1_ak-outcome-sim,0.4399441480636596,26,40
bert-base-uncased_seed8_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract_seed1_ak-outcome-sim,0.5628267526626587,26,34
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,all-mpnet-base-v2-ft-out-sim,0.4017534255981445,29,44
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed1_ak-outcome-sim,0.5393945574760437,23,34
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,BioLinkBERT-base_seed1_ak-outcome-sim,0.461687684059143,29,44
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,bert-base-uncased_seed1_ak-outcome-sim,0.5115755200386047,21,31
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,biobert-base-cased-v1.2_seed1_ak-outcome-sim,0.4004036486148834,28,43
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,scibert-scivocab-uncased_seed1_ak-outcome-sim,0.4399441480636596,27,41
BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext_seed6_ak-primary,BiomedNLP-PubMedBERT-base-uncased-abstract_seed1_ak-outcome-sim,0.5628267526626587,28,38
